[0.000000] (-) TimerEvent: {}
[0.000523] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000562] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000578] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000585] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000592] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000599] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000605] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000611] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000617] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000624] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000630] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000637] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000643] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000649] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000655] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000661] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000667] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000673] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000685] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000693] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000699] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000705] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000711] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000717] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000723] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000729] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000735] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000741] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000747] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000754] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000760] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000767] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.000773] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000780] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000787] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000794] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000801] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000807] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000814] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000821] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000827] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000834] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000840] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000846] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000852] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000858] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000864] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.000870] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.000876] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.000882] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.000888] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.000894] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.000900] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.000907] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.000913] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.000920] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.000926] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.000932] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.000938] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.000944] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.000958] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.000964] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.000969] (-) JobUnselected: {'identifier': 'serial'}
[0.000975] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.000981] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.000986] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.000992] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.000998] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001004] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001127] (-) EventReactorShutdown: {}
