[0.000000] (-) TimerEvent: {}
[0.000105] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000122] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000130] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000138] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000145] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000152] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000158] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000165] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000171] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000178] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000185] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000198] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000205] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000212] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000219] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000226] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000233] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000239] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000246] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000253] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000260] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000268] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000274] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000281] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000288] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000294] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000300] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000307] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000314] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000320] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000327] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000334] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.000341] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000348] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000355] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000362] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000369] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000376] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000383] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000390] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000397] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000404] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000411] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000417] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000424] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000431] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000438] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.000445] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.000452] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.000458] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.000465] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.000472] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.000479] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.000486] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.000493] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.000500] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.000507] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.000514] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.000521] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.000527] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.000554] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.000561] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.000569] (-) JobUnselected: {'identifier': 'serial'}
[0.000576] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.000583] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.000590] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.000597] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.000604] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.000611] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.000886] (-) EventReactorShutdown: {}
