[0.000000] (-) TimerEvent: {}
[0.000265] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000292] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000385] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000404] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000420] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000435] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000449] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000464] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000478] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000492] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000510] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000525] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000539] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000553] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000567] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000583] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000599] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000616] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000631] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000646] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000660] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000674] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000688] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000702] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000715] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000729] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000743] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000757] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000771] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000785] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000799] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000813] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.000827] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000840] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000854] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000868] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000882] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000895] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000909] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000923] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000936] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000950] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000964] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000978] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000991] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.001005] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.001019] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.001033] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.001047] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.001061] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.001074] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.001090] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.001104] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.001118] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.001131] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.001145] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.001158] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.001172] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.001185] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.001199] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.001218] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001233] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001246] (-) JobUnselected: {'identifier': 'serial'}
[0.001260] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001274] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.001287] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001301] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001315] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001332] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001348] (-) EventReactorShutdown: {}
